timestamp,ipSrc,ipDst,tcpPortSrc,tcpPortDst,udpPortSrc,udpPortDst,tcpLen,udpLen,payloadProtocolNumber
1584567451.366806,173.194.188.6,10.10.0.10,,,443,42148,0,1358,17
1584567451.3890884,173.194.188.6,10.10.0.10,,,443,42148,0,1358,17
1584567451.3912866,10.10.0.10,173.194.188.6,,,42148,443,0,37,17
1584567451.411351,173.194.188.6,10.10.0.10,,,443,42148,0,1358,17
1584567451.433626,173.194.188.6,10.10.0.10,,,443,42148,0,1358,17
1584567451.435536,10.10.0.10,173.194.188.6,,,42148,443,0,37,17
1584567451.4558961,173.194.188.6,10.10.0.10,,,443,42148,0,1358,17
1584567451.478168,173.194.188.6,10.10.0.10,,,443,42148,0,1358,17
1584567451.4799092,10.10.0.10,173.194.188.6,,,42148,443,0,37,17
1584567451.5004554,173.194.188.6,10.10.0.10,,,443,42148,0,1358,17
1584567451.5184321,10.10.0.10,173.194.188.6,,,42148,443,0,743,17
1584567451.5184588,10.10.0.10,173.194.188.6,,,42148,443,0,48,17
1584567451.522712,173.194.188.6,10.10.0.10,,,443,42148,0,1358,17
1584567451.544986,173.194.188.6,10.10.0.10,,,443,42148,0,1358,17
1584567451.547182,10.10.0.10,173.194.188.6,,,42148,443,0,37,17
1584567451.567265,173.194.188.6,10.10.0.10,,,443,42148,0,1358,17
1584567451.589531,173.194.188.6,10.10.0.10,,,443,42148,0,1358,17
1584567451.591281,10.10.0.10,173.194.188.6,,,42148,443,0,37,17
1584567451.6118042,173.194.188.6,10.10.0.10,,,443,42148,0,1358,17
1584567451.6340814,173.194.188.6,10.10.0.10,,,443,42148,0,29,17
1584567451.635082,173.194.188.6,10.10.0.10,,,443,42148,0,1358,17
1584567451.6369288,10.10.0.10,173.194.188.6,,,42148,443,0,37,17
1584567451.6573539,173.194.188.6,10.10.0.10,,,443,42148,0,1358,17
1584567451.6796372,173.194.188.6,10.10.0.10,,,443,42148,0,1358,17
1584567451.681422,10.10.0.10,173.194.188.6,,,42148,443,0,37,17
1584567451.701895,173.194.188.6,10.10.0.10,,,443,42148,0,1358,17
1584567451.72417,173.194.188.6,10.10.0.10,,,443,42148,0,1358,17
1584567451.7260518,10.10.0.10,173.194.188.6,,,42148,443,0,37,17
1584567451.746453,173.194.188.6,10.10.0.10,,,443,42148,0,1358,17
1584567451.7687118,173.194.188.6,10.10.0.10,,,443,42148,0,1358,17
1584567451.790984,173.194.188.6,10.10.0.10,,,443,42148,0,1358,17
1584567451.7960286,10.10.0.10,173.194.188.6,,,42148,443,0,37,17
1584567451.8132498,173.194.188.6,10.10.0.10,,,443,42148,0,1358,17
1584567451.815238,10.10.0.10,173.194.188.6,,,42148,443,0,37,17
1584567451.8355286,173.194.188.6,10.10.0.10,,,443,42148,0,1358,17
1584567451.857818,173.194.188.6,10.10.0.10,,,443,42148,0,1358,17
1584567451.860151,10.10.0.10,173.194.188.6,,,42148,443,0,37,17
1584567451.8800678,173.194.188.6,10.10.0.10,,,443,42148,0,1358,17
1584567451.902339,173.194.188.6,10.10.0.10,,,443,42148,0,1358,17
1584567451.9039981,10.10.0.10,173.194.188.6,,,42148,443,0,37,17
1584567451.9246118,173.194.188.6,10.10.0.10,,,443,42148,0,1358,17
1584567451.946882,173.194.188.6,10.10.0.10,,,443,42148,0,1358,17
1584567451.948526,10.10.0.10,173.194.188.6,,,42148,443,0,37,17
1584567451.9691556,173.194.188.6,10.10.0.10,,,443,42148,0,1358,17
1584567451.991446,173.194.188.6,10.10.0.10,,,443,42148,0,1358,17
1584567451.993024,10.10.0.10,173.194.188.6,,,42148,443,0,37,17
1584567452.0137026,173.194.188.6,10.10.0.10,,,443,42148,0,1358,17
1584567452.035972,173.194.188.6,10.10.0.10,,,443,42148,0,1358,17
1584567452.0376382,10.10.0.10,173.194.188.6,,,42148,443,0,37,17
1584567452.0582418,173.194.188.6,10.10.0.10,,,443,42148,0,1358,17
1584567452.0805216,173.194.188.6,10.10.0.10,,,443,42148,0,1358,17
1584567452.0821636,10.10.0.10,173.194.188.6,,,42148,443,0,37,17
1584567452.1028142,173.194.188.6,10.10.0.10,,,443,42148,0,1358,17
1584567452.1250658,173.194.188.6,10.10.0.10,,,443,42148,0,1358,17
1584567452.127038,10.10.0.10,173.194.188.6,,,42148,443,0,37,17
1584567452.147337,173.194.188.6,10.10.0.10,,,443,42148,0,1358,17
1584567452.169609,173.194.188.6,10.10.0.10,,,443,42148,0,1358,17
1584567452.171537,10.10.0.10,173.194.188.6,,,42148,443,0,37,17
1584567452.19188,173.194.188.6,10.10.0.10,,,443,42148,0,1358,17
1584567452.214157,173.194.188.6,10.10.0.10,,,443,42148,0,1358,17
1584567452.2158911,10.10.0.10,173.194.188.6,,,42148,443,0,37,17
1584567452.2364366,173.194.188.6,10.10.0.10,,,443,42148,0,1358,17
1584567452.2586956,173.194.188.6,10.10.0.10,,,443,42148,0,1358,17
1584567452.2608922,10.10.0.10,173.194.188.6,,,42148,443,0,37,17
1584567452.280969,173.194.188.6,10.10.0.10,,,443,42148,0,1358,17
1584567452.303248,173.194.188.6,10.10.0.10,,,443,42148,0,1358,17
1584567452.305033,10.10.0.10,173.194.188.6,,,42148,443,0,37,17
1584567452.3255134,173.194.188.6,10.10.0.10,,,443,42148,0,1358,17
1584567452.3477821,173.194.188.6,10.10.0.10,,,443,42148,0,1358,17
1584567452.349514,10.10.0.10,173.194.188.6,,,42148,443,0,37,17
1584567452.3700602,173.194.188.6,10.10.0.10,,,443,42148,0,1358,17
1584567452.3923302,173.194.188.6,10.10.0.10,,,443,42148,0,1358,17
1584567452.3941412,10.10.0.10,173.194.188.6,,,42148,443,0,50,17
1584567452.4146,173.194.188.6,10.10.0.10,,,443,42148,0,1358,17
1584567452.436872,173.194.188.6,10.10.0.10,,,443,42148,0,1358,17
1584567452.4402845,10.10.0.10,173.194.188.6,,,42148,443,0,37,17
1584567452.459142,173.194.188.6,10.10.0.10,,,443,42148,0,1358,17
